original,value,matched_term,category,score,log
Activos por impuestos diferidos,356550480,,,1.0,"{'fuzzy': {'term': 'total pasivos y patrimonio', 'score': 45.614035087719294}, 'embedding': {'term': 'utilidades retenidas', 'score': 0.5841319753702249}}"
MS PASIVOS CORRIENTES Otros pasivos financieros corrientes,825786472,pasivo financiero,"['Balance general', None, None]",0.7810722589492798,RAG
MS PASIVOS CORRIENTES Otros pasivos financieros corrientes,505461062,pasivo financiero,"['Balance general', None, None]",0.7810722589492798,RAG
corrientes,194585896,activos corrientes,"['Balance general', None, None]",0.7503213882446289,RAG
corrientes,180834620,activos corrientes,"['Balance general', None, None]",0.7503213882446289,RAG
Cuentas por pagar comerciales y otras cuentas por pagar,2866975457,,,1.0,"{'fuzzy': {'term': 'total pasivos y patrimonio', 'score': 32.098765432098766}, 'embedding': {'term': 'total pasivos y patrimonio', 'score': 0.46892580804918177}}"
Cuentas por pagar comerciales y otras cuentas por pagar,2653580482,Cuentas por pagar comerciales y otras cuentas por pagar,"['PASIVOS', 'CORRIENTES', 'CUENTAS POR PAGAR']",0.5,"{'fuzzy': {'term': 'total pasivos y patrimonio', 'score': 32.098765432098766}, 'embedding': {'term': 'total pasivos y patrimonio', 'score': 0.46892580804918177}}"
corrientes,17640430,activos corrientes,"['Balance general', None, None]",0.7503213882446289,RAG
corrientes,16516672,activos corrientes,"['Balance general', None, None]",0.7503213882446289,RAG
Otras provisiones corrientes,18287874,otros activos no corrientes,"['Balance general', None, None]",0.7485402226448059,RAG
Otras provisiones corrientes,16826672,otros activos no corrientes,"['Balance general', None, None]",0.7485402226448059,RAG
corrientes,53512442,activos corrientes,"['Balance general', None, None]",0.7503213882446289,RAG
corrientes,48325022,activos corrientes,"['Balance general', None, None]",0.7503213882446289,RAG
Provisiones corrientes por beneficios a los empleados,130178251,,[],0.5,"{'fuzzy': {'term': 'resultado del ejercicio', 'score': 39.473684210526315}, 'embedding': {'term': 'utilidades retenidas', 'score': 0.4997601128582046}}"
Provisiones corrientes por beneficios a los empleados,136878132,Provisiones corrientes por beneficios a los empleados,"['PASIVOS', 'CORRIENTES', 'PROVISIONES']",1.0,"{'fuzzy': {'term': 'resultado del ejercicio', 'score': 39.473684210526315}, 'embedding': {'term': 'utilidades retenidas', 'score': 0.4997601128582046}}"
Otros pasivos no financieros corrientes,248986568,pasivo financiero,"['Balance general', None, None]",0.82454514503479,RAG
Otros pasivos no financieros corrientes,240505744,pasivo financiero,"['Balance general', None, None]",0.82454514503479,RAG
PASIVOS NO CORRIENTES Otros pasivos financieros no corrientes,3750953599,otros pasivos no corrientes,"['Balance general', None, None]",0.7987725138664246,RAG
PASIVOS NO CORRIENTES Otros pasivos financieros no corrientes,3704831700,otros pasivos no corrientes,"['Balance general', None, None]",0.7987725138664246,RAG
Pasivos por arrendamientos no corrientes,1081584792,otros pasivos no corrientes,"['Balance general', None, None]",0.7948132753372192,RAG
